ConsumerReportCount,_c3,_c16,_c17
136,1,RAP,ORD
111,1,CHS,BOS
112,1,PLN,DTW
315,1,MEM,TUL
1,1,ROA,BNA
1,1,PHL,TYS
1,1,SBA,MRY
1,1,EUG,BOI
1,1,BUR,LAX
962,1,PIT,SDF
5011,1,BUR,SJC
2429,1,IDA,SLC
13770,1,DCA,ORD
3518,1,SMF,PDX
6530,1,DTW,DFW
383,1,PIT,ELM
194,1,PSC,GEG
22574,1,LAX,LAS
1537,1,KOA,LAX
1878,1,BUF,CLT
851,1,SYR,CLT
2356,1,ONT,DEN
690,1,SJC,IAD
4085,1,RDU,BOS
2870,1,JFK,BUF
308,1,SLC,DCA
1,1,SMF,RDD
168,1,PMD,SFO
21,1,MIA,EGE
5209,1,ATL,RIC
1939,1,DFW,RNO
1936,1,LGA,MEM
2197,1,IAD,MIA
1699,1,SNA,MSP
2425,1,GEG,PDX
988,1,BRW,FAI
799,1,ROC,CLT
1143,1,AUS,CVG
1937,1,GSO,CVG
2076,1,MHT,DTW
510,1,ANC,LAX
1832,1,HOU,MDW
500,1,PVD,ISP
1082,1,PHX,DCA
36,1,EWR,ANC
774,1,LGA,PHF
1376,1,CVG,TYS
1063,1,PSP,LAS
1208,1,IAH,ICT
565,1,EWR,XNA
274,1,SJT,IAH
1,1,CRP,SAT
130,1,GEG,SAN
70,1,ORF,MSP
101,1,IDA,MSP
1,1,BIL,PIH
1,1,PHF,FAY
3199,1,ORD,RIC
278,1,LGA,SDF
2495,1,BOI,SFO
2344,1,DTW,SYR
351,1,BTR,MOB
3523,1,FAR,MSP
948,1,IAD,MSY
2010,1,IAH,OMA
1199,1,ABQ,ORD
861,1,STL,PDX
6901,1,MSY,IAH
1441,1,ONT,IAH
2321,1,CLE,LAS
975,1,MCO,ABQ
1164,1,SRQ,CLT
1460,1,COS,PHX
937,1,MSO,MSP
113,1,AUS,MFE
537,1,IAH,CHS
636,1,SAN,AUS
337,1,MHT,LGA
62,1,MIA,SAV
441,1,FLL,IND
51,1,MEI,LFT
815,1,ATL,EYW
1775,1,GJT,DEN
1152,1,BZN,DEN
586,1,CLE,GSP
86,1,LAS,PIE
30,1,SFO,PIE
1,1,HTS,CRW
88,1,JFK,PNS
26,1,FCA,PHX
139,1,COS,ONT
313,1,GSP,MEM
218,1,DTW,ROA
1516,1,STL,RDU
1260,1,ORD,RSW
981,1,BWI,SFO
4765,1,BWI,TPA
826,1,SAT,MCO
1837,1,GSO,ORD
3139,1,ICT,ORD
2764,1,RST,ORD
5761,1,ATL,PBI
437,1,CLE,PBI
1489,1,MSY,PHL
1200,1,PWM,PHL
3509,1,TPA,JFK
11330,1,SEA,LAX
22,1,COS,ABQ
1063,1,CLT,AVL
3403,1,PIT,BOS
4688,1,SFO,BOS
1084,1,CVG,BUF
2381,1,PIT,BWI
722,1,STL,COS
156,1,RDU,SAT
1375,1,ORD,LEX
1014,1,LAX,YUM
900,1,BIS,DEN
85,1,GRR,TPA
708,1,CVG,GRB
10,1,PHL,PHF
342,1,HPN,PBI
327,1,HOU,DEN
166,1,SRQ,JFK
85,1,RNO,LGB
6,1,CLT,DAB
39,1,MEM,LEX
1,1,MCO,SRQ
1,1,ABE,GRR
1,1,SYR,TPA
840,1,MEM,SEA
7070,1,DTW,LGA
8316,1,ATL,MEM
244,1,JAN,MLU
1283,1,MEM,PHL
1564,1,DAY,DFW
11335,1,LAX,DFW
7235,1,STL,DTW
